NAZEV,SITECODE,MAX_DIST
Chuchelské háje,CZ0110040,1773.3353148708463
Havránka a Salabka,CZ0110049,852.0848796351594
Prokopské údolí,CZ0110050,4503.263333856895
Blatov a Xaverovský háj,CZ0110142,3509.348965862612
Kaňon Vltavy u Sedlce,CZ0110154,4123.757464910692
Obora Hvězda,CZ0113001,371.69692670542236
Milíčovský les,CZ0113002,606.7575101057158
Lochkovský profil,CZ0113005,1097.7177475673168
Praha - Petřín,CZ0113773,1286.7530128900125
Praha - Letňany,CZ0113774,1284.457966829379
Radotínské údolí,CZ0114001,1883.8555028187982
Na pramenech,CZ0210003,642.9987497524634
Zámecký park Liblice,CZ0210008,811.8015887564093
Housina,CZ0210010,3886.1063808098625
Lounín,CZ0210011,597.2321733168027
Kozí hůra,CZ0210022,3521.5820705457627
Pustá seč,CZ0210023,738.5013032220644
Voděradské bučiny,CZ0210027,2591.493139312042
Posázavské bučiny,CZ0210028,4445.751767766212
Zadní Hrádek,CZ0210029,1212.383419267163
Všetatská černava,CZ0210034,1362.3399296241068
Hradec a Kuchyňka,CZ0210043,7846.59378514514
Na horách u Křešína,CZ0210044,471.341137421507
Třemšín a Hřebence,CZ0210047,3636.659488435938
Střední Povltaví u Drbákova,CZ0210053,5083.05588129999
Tok,CZ0210054,2741.2113140523356
Trokavecké louky,CZ0210056,515.5623345379149
Louky u Budenína,CZ0210058,1042.5361193239544
Teslíny,CZ0210062,2415.259894448365
Písečný přesyp u Píst,CZ0210064,374.22902808322675
Žerka,CZ0210066,1174.6613996025958
Bílichovské údolí,CZ0210100,3861.2927722711183
Dymokursko,CZ0210101,21501.26485920521
Kalivodské bučiny,CZ0210105,2892.689196471215
Krnčí a Voleška,CZ0210107,2297.70639943155
Chlum u Nepřevázky,CZ0210109,3158.824532229762
Paterovské stráně,CZ0210111,2048.5632121057274
Louky u rybníka Proudnice,CZ0210113,1272.998406800832
Radouč,CZ0210114,797.1226668247147
V jezírkách,CZ0210118,403.3979934628054
Čtvrtě,CZ0210150,1816.4739089572997
Polabí u Kostelce,CZ0210152,6452.567217514839
Zvolská homole,CZ0210153,1259.4040156220628
Hrabanovská černava,CZ0210172,1223.9883741069784
Slaná louka u Újezdce,CZ0210173,266.99384227353573
Žlunice - Skochovice,CZ0210175,8964.316653839136
Úpor - Černínovsko,CZ0210186,8593.695286008724
Kulivá hora,CZ0210409,1277.9584940285642
Mramor,CZ0210421,1824.4057063504463
Čertova skála,CZ0210704,347.10600229756795
Stříbrný luh,CZ0210708,2027.3827047427385
Polabské hůry,CZ0210713,3287.2183471638814
Lžovické tůně,CZ0210714,2042.3101775024184
Milčice,CZ0210719,423.5495313970813
Loučeňské rybníčky,CZ0210720,664.4165247544482
Pěnovce u rybníka Lutovník,CZ0210721,175.15626902205207
Vápnomilný bor u Líského,CZ0210726,383.67595316339975
Větrušické rokle,CZ0210729,2145.7571232003916
Písčina u Byšiček,CZ0210730,270.47908846367596
Řísnice,CZ0210731,525.0500533192853
Kaliště,CZ0210732,578.0539123598194
Pahorek u Ledčic,CZ0210733,202.68536913988103
Stráně u Kochánek,CZ0210734,595.7954960718905
Březinský rybník,CZ0212001,289.2068241642738
Malíkovická stráň,CZ0212004,941.2606837352615
Drhleny,CZ0212006,1454.6532601256881
Hadce u Hrnčíř,CZ0212008,297.1233558752585
Hvožďanské Háje,CZ0212010,277.77568385368846
Smradovna,CZ0212019,2529.179396365711
Rečkov,CZ0212020,1664.7615238653973
Slatinná louka u Velenky,CZ0212021,707.5389639488649
Slepeč,CZ0212022,409.6198512837328
Písčina u Tišic,CZ0212023,578.9698978659852
Červené dolíky,CZ0212024,733.6104144477206
Ostrov u Jedomělic,CZ0212025,770.8072586279357
Nový rybník u Kačiny,CZ0213001,683.6594571888392
Rybník Starý u Líchov,CZ0213004,270.5945655101831
Šáchovec,CZ0213005,335.0751920887901
Valcha,CZ0213006,517.6537043838382
Bezděkovský lom,CZ0213008,177.61120509546137
Vlašimská Blanice,CZ0213009,20291.02304272218
Březnice - Oblouček,CZ0213013,603.452616980342
Dobříšský park,CZ0213015,1058.8319341675228
Zákolanský potok,CZ0213016,8918.517524894483
Dražská Koupě,CZ0213017,523.6923358893191
Hrdlička - Žďánská hora,CZ0213023,1862.9899241766516
Kalivody,CZ0213028,1473.224810066723
Kalspot,CZ0213029,301.16863516650216
Kyšice - Kobyla,CZ0213038,1211.4704912862921
Labe - Liběchov,CZ0213039,7079.625849946936
Losinský potok,CZ0213042,1914.097347527306
Třeštibok,CZ0213043,1023.7351993257038
Minartice,CZ0213047,239.7639859369069
Mydlovarský luh,CZ0213048,1957.6667625882892
Ohrazenický potok,CZ0213050,3401.288345424129
Oškobrh,CZ0213051,1590.7200706562521
Lom na Plachtě,CZ0213058,151.5949104532532
Třebichovická olšinka,CZ0213059,99.07485286626692
Týnecké mokřiny,CZ0213061,2027.1404568762084
Rakovník - za koupalištěm,CZ0213063,783.932586520448
Rožmitál pod Třemšínem,CZ0213064,1633.4761811607534
Na Babě,CZ0213065,1358.6344511263935
Rybník Vočert a Lazy,CZ0213066,852.6307466580358
Sázava,CZ0213067,12307.299285085663
Dolní Sázava,CZ0213068,41179.149043521145
Sedlečský potok,CZ0213069,5015.692258908904
Slánsko - Byseňský potok,CZ0213070,3501.776565201995
Slavkov,CZ0213071,453.9813762755829
Smečno,CZ0213072,1831.3899230239947
Štěpánovský potok,CZ0213076,3588.7174185539584
Suchdolský rybník,CZ0213077,588.5944265033716
Trhovky,CZ0213078,753.661853892171
Vápenické jezero,CZ0213081,461.6963591939607
Velký Raputovský rybník,CZ0213082,1036.6693961366173
