"HABITAT","TOTAL_AREA_ALL"
"1340",1281600.17663394
"2330",7256916.05074869
"3130",9826649.03872118
"3140",250277.25793014
"3150",65883364.1057951
"3160",293800.03873473
"3220",141298.48702896
"3230",133661.667491
"3240",700267.68456782
"3260",45943038.8128264
"3270",563050.04733312
"4030",13969938.5646764
"4060",6380673.9411726
"4070",13092037.1848495
"4080",374253.0081461
"40A0",498451.89316918
"5130",4292282.62563127
"6110",566429.67986782
"6150",8431330.47327599
"6190",3213695.48384352
"6210",136141570.002039
"6210p",9325607.07500921
"6230",103811509.07224
"6240",2770583.58683906
"6250",684021.32172042
"6260",978966.76574289
"6410",77812196.3221555
"6430",92875447.1415244
"6440",12297574.0496673
"6510",1746285074.48267
"6520",152030267.03437
"7110",7547899.61158264
"7120",9639610.01634823
"7140",53790543.2752654
"7150",201303.96081407
"7210",32159.42503538
"7220",316152.93512087
"7230",500229.84104667
"8110",1841299.78452096
"8150",846362.67877643
"8160",254370.35231778
"8210",1792313.92308281
"8220",68216325.882831
"8230",849573.42332095
"8310",18007.08612722
"9110",1371571909.53639
"9130",1308625925.12015
"9140",5092381.33993585
"9150",11550720.0986672
"9170",1655062981.8051
"9180",176441065.281393
"9190",93618311.0296525
"91D0",142954657.939675
"91E0",890690828.432872
"91F0",243809856.485488
"91G0",103761224.892982
"91H0",9500815.96569454
"91I0",68503309.146634
"91T0",1847549.86932241
"91U0",3397144.24090428
"9410",770065206.607995
