"SITECODE","nazev_lat","rok","suma_nepriznivych","pocet_par","ukazatele","stav_EVL"
"CZ0213009","Lampetra planeri","2010",3,8,"biochemická spotøeba kyslíku BSK-5, dusík amoniakální, dusík dusiènanový, fosfor celkový, konduktivita v laboratoøi, nasycení kyslíkem v terénu, pH vody v laboratoøi (25°C), teplota vody v terénu","priznivy"
"CZ0213009","Lampetra planeri","2011",5,8,"biochemická spotøeba kyslíku BSK-5, dusík amoniakální, dusík dusiènanový, fosfor celkový, konduktivita v laboratoøi, nasycení kyslíkem v terénu, pH vody v terénu, teplota vody v terénu","nepriznivy"
"CZ0213009","Lampetra planeri","2012",6,8,"biochemická spotøeba kyslíku BSK-5, dusík amoniakální, dusík dusiènanový, fosfor celkový, konduktivita v laboratoøi, nasycení kyslíkem v terénu, pH vody v terénu, teplota vody v terénu","nepriznivy"
"CZ0213009","Lampetra planeri","2013",6,12,"biochemická spotøeba kyslíku BSK-5, dusík amoniakální, dusík dusitanový, dusík dusiènanový, fosfor celkový, fosfor fosforeènanový, konduktivita v terénu, kyslík rozpuštìný v terénu, nasycení kyslíkem v terénu, nerozpuštìné látky pøi 105 °C, pH vody v terénu, teplota vody v terénu","priznivy"
"CZ0213009","Lampetra planeri","2014",7,12,"biochemická spotøeba kyslíku BSK-5, dusík amoniakální, dusík dusitanový, dusík dusiènanový, fosfor celkový, fosfor fosforeènanový, konduktivita v terénu, kyslík rozpuštìný v terénu, nasycení kyslíkem v terénu, nerozpuštìné látky pøi 105 °C, pH vody v terénu, teplota vody v terénu","priznivy"
"CZ0213009","Lampetra planeri","2015",7,12,"biochemická spotøeba kyslíku BSK-5, dusík amoniakální, dusík dusitanový, dusík dusiènanový, fosfor celkový, fosfor fosforeènanový, konduktivita v terénu, kyslík rozpuštìný v terénu, nasycení kyslíkem v terénu, nerozpuštìné látky pøi 105 °C, pH vody v terénu, teplota vody v terénu","priznivy"
"CZ0213009","Lampetra planeri","2016",6,13,"biochemická spotøeba kyslíku BSK-5, dusík amoniakální, dusík dusitanový, dusík dusiènanový, fosfor celkový, fosfor fosforeènanový, konduktivita v terénu, kyslík rozpuštìný v terénu, nasycení kyslíkem v terénu, nerozpuštìné látky pøi 105 °C, pH vody v terénu, teplota vody v terénu, kyselinová neutralizaèní kapacita do pH 4,5","priznivy"
"CZ0213009","Lampetra planeri","2017",8,12,"biochemická spotøeba kyslíku BSK-5, dusík amoniakální, dusík dusitanový, dusík dusiènanový, fosfor celkový, fosfor fosforeènanový, konduktivita v terénu, kyslík rozpuštìný v terénu, nasycení kyslíkem v terénu, nerozpuštìné látky pøi 105 °C, pH vody v terénu, teplota vody v terénu","nepriznivy"
"CZ0213009","Lampetra planeri","2018",8,12,"biochemická spotøeba kyslíku BSK-5, dusík amoniakální, dusík dusitanový, dusík dusiènanový, fosfor celkový, fosfor fosforeènanový, konduktivita v terénu, kyslík rozpuštìný v terénu, nasycení kyslíkem v terénu, nerozpuštìné látky pøi 105 °C, pH vody v terénu, teplota vody v terénu","nepriznivy"
"CZ0213009","Lampetra planeri","2019",5,12,"biochemická spotøeba kyslíku BSK-5, dusík amoniakální, dusík dusitanový, dusík dusiènanový, fosfor celkový, fosfor fosforeènanový, konduktivita v terénu, kyslík rozpuštìný v terénu, nasycení kyslíkem v terénu, nerozpuštìné látky pøi 105 °C, pH vody v terénu, teplota vody v terénu","priznivy"
"CZ0213009","Lampetra planeri","2020",4,11,"dusík amoniakální, dusík dusitanový, dusík dusiènanový, fosfor celkový, fosfor fosforeènanový, konduktivita v terénu, kyslík rozpuštìný v terénu, nasycení kyslíkem v terénu, nerozpuštìné látky pøi 105 °C, pH vody v terénu, teplota vody v terénu","priznivy"
"CZ0213009","Lampetra planeri","2021",4,11,"dusík amoniakální, dusík dusitanový, dusík dusiènanový, fosfor celkový, fosfor fosforeènanový, konduktivita v terénu, kyslík rozpuštìný v terénu, nasycení kyslíkem v terénu, nerozpuštìné látky pøi 105 °C, pH vody v terénu, teplota vody v terénu","priznivy"
"CZ0213817","Lampetra planeri","2017",6,11,"biochemická spotøeba kyslíku BSK-5, dusík amoniakální, dusík dusitanový, dusík dusiènanový, fosfor celkový, fosfor fosforeènanový, konduktivita v terénu, kyslík rozpuštìný v terénu, nasycení kyslíkem v terénu, pH vody v terénu, teplota vody v terénu","priznivy"
