"DRUH","UKAZATEL_ID","UKAZATEL_NM","JEDNOTKY","min","med","max"
"Cobitis elongatoides","BA0005","pH vody v laboratoøi (25°C)",NA,6.5,NA,NA
"Cobitis elongatoides","BA0015","konduktivita v laboratoøi","mS/m",NA,40,55
"Cobitis elongatoides","BA0035","teplota vody v terénu","C",NA,11.5,21.5
"Cobitis elongatoides","BA0055","nerozpuštìné látky pøi 105 °C","mg/l",NA,10,NA
"Cobitis elongatoides","CA0000","kyslík rozpuštìný v terénu","mg/l",6,NA,NA
"Cobitis elongatoides","CA0020","biochemická spotøeba kyslíku BSK-5","mg/l",NA,2.5,NA
"Cobitis elongatoides","CC0020","dusík amoniakální","mg/l",NA,0.1,NA
"Cobitis elongatoides","CC0025","dusík dusitanový","mg/l",NA,0.025,NA
"Cobitis elongatoides","CC0030","dusík dusiènanový","mg/l",NA,2.5,NA
"Cobitis elongatoides","CC0055","fosfor celkový","mg/l",NA,0.09,NA
"Cobitis elongatoides","CC0065","fosfor fosforeènanový","mg/l",NA,0.02,NA
"Cobitis elongatoides","CD0000","chloridy","mg/l",NA,25,NA
"Cobitis elongatoides","CD0005","sírany","mg/l",NA,60,NA
"Cottus gobio","BA0005","pH vody v laboratoøi (25°C)",NA,6.5,NA,8.5
"Cottus gobio","BA0015","konduktivita v laboratoøi","mS/m",30,NA,50
"Cottus gobio","BA0035","teplota vody v terénu","C",NA,9.5,21
"Cottus gobio","BA0055","nerozpuštìné látky pøi 105 °C","mg/l",NA,5,NA
"Cottus gobio","CA0000","kyslík rozpuštìný v terénu","mg/l",7,NA,NA
"Cottus gobio","CA0020","biochemická spotøeba kyslíku BSK-5","mg/l",NA,1.5,NA
"Cottus gobio","CC0020","dusík amoniakální","mg/l",NA,0.035,NA
"Cottus gobio","CC0025","dusík dusitanový","mg/l",NA,0.02,NA
"Cottus gobio","CC0030","dusík dusiènanový","mg/l",NA,2.8,NA
"Cottus gobio","CC0055","fosfor celkový","mg/l",NA,0.05,NA
"Cottus gobio","CC0065","fosfor fosforeènanový","mg/l",NA,0.03,NA
"Cottus gobio","CD0000","chloridy","mg/l",NA,10,NA
"Cottus gobio","CD0005","sírany","mg/l",NA,30,NA
"Eudontomyzon mariae","BA0005","pH vody v laboratoøi (25°C)",NA,7.3,NA,8.4
"Eudontomyzon mariae","BA0015","konduktivita v laboratoøi","mS/m",NA,20,25
"Eudontomyzon mariae","BA0035","teplota vody v terénu","C",NA,10.5,18.5
"Eudontomyzon mariae","BA0055","nerozpuštìné látky pøi 105 °C","mg/l",NA,14,NA
"Eudontomyzon mariae","CA0000","kyslík rozpuštìný v terénu","mg/l",8,NA,NA
"Eudontomyzon mariae","CA0020","biochemická spotøeba kyslíku BSK-5","mg/l",NA,1.3,NA
"Eudontomyzon mariae","CC0020","dusík amoniakální","mg/l",NA,0.03,NA
"Eudontomyzon mariae","CC0025","dusík dusitanový","mg/l",NA,0.08,NA
"Eudontomyzon mariae","CC0030","dusík dusiènanový","mg/l",NA,1.5,NA
"Eudontomyzon mariae","CC0055","fosfor celkový","mg/l",NA,0.065,NA
