"typ_predmetu_hodnoceni","kod_chu","nazev_chu","druh","feature_code","hodnocene_obdobi_od","hodnocene_obdobi_do","oop","parametr_nazev","parametr_hodnota","parametr_limit","parametr_jednotka","stav","trend","datum_hodnoceni","pracoviste","metodika"
"Druh","CZ0724089","Beskydy","Aconitum firmum subsp. moravicum",NA,2012-05-28,2024-10-05,"AOPK ÈR - RP Moravskoslezské",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Moravskoslezské",15087
"Druh","CZ0724089","Beskydy","Aconitum firmum subsp. moravicum",NA,2012-05-28,2024-10-05,"AOPK ÈR - RP Moravskoslezské",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Moravskoslezské",15087
"Druh","CZ0712186","Hrdiboøické rybníky","Angelica palustris",NA,2012-09-21,2024-04-24,"AOPK ÈR - RP Olomoucko",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Olomoucko",15087
"Druh","CZ0712186","Hrdiboøické rybníky","Angelica palustris",NA,2012-09-21,2024-04-24,"AOPK ÈR - RP Olomoucko",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Olomoucko",15087
"Druh","CZ0322055","Drahotínský les","Asplenium adulterinum",NA,2012-09-11,2024-07-03,"Krajský úøad Plzeòského kraje",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP SCHKO Èeský les",15087
"Druh","CZ0322055","Drahotínský les","Asplenium adulterinum",NA,2012-09-11,2024-07-03,"Krajský úøad Plzeòského kraje",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP SCHKO Èeský les",15087
"Druh","CZ0412065","Medvìdí rozhledy","Asplenium adulterinum",NA,2012-06-12,2018-10-25,"AOPK ÈR - RP SCHKO Slavkovský les",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP SCHKO Slavkovský les",15087
"Druh","CZ0412065","Medvìdí rozhledy","Asplenium adulterinum",NA,2012-06-12,2018-10-25,"AOPK ÈR - RP SCHKO Slavkovský les",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP SCHKO Slavkovský les",15087
"Druh","CZ0412069","Pramenské pastviny","Asplenium adulterinum",NA,2012-05-04,2018-11-14,"AOPK ÈR - RP SCHKO Slavkovský les",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP SCHKO Slavkovský les",15087
"Druh","CZ0412069","Pramenské pastviny","Asplenium adulterinum",NA,2012-05-04,2018-11-14,"AOPK ÈR - RP SCHKO Slavkovský les",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP SCHKO Slavkovský les",15087
