"kod_chu","DRUH","KOD_LOKAL","POLE","ROK","ID_IND","SKUPINA","NAZEV_LOK","ID_ND_AKCE","DATUM","HOD_IND","TYP_IND","LIM_IND","JEDNOTKA","LIM_INDLIST","STAV_IND","KLIC","IND_GRP","UROVEN","CILMON","IND_SUM","IND_SUMKLIC","IND_SUMOST","IND_LEN","IND_LENKLIC","IND_LENOST","CELKOVE","NAZEV","HODNOCENE_OBDOBI_OD","HODNOCENE_OBDOBI_DO","pracoviste","oop"
"CZ0623041","Rhodeus amarus","CZ0623041","7063c","2016","CELKOVE_HODNOCENI","Ryby a mihule","Jevišovka - erotice","10015469","2016-10-14","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"0","0","0","0",8,2,6,0,"Jevišovka",2016-10-14,2016-10-14,"RP Jiní Morava","Krajskı úøad Jihomoravského kraje"
"CZ0623041","Rhodeus amarus","CZ0623041","7063c","2016","POP_VITALITA","Ryby a mihule","Jevišovka - erotice","10015469","2016-10-14","0","min","2","kategorie","alespoò 2 kategorie",0,"ano","minmax","lok","0","0","0","0",8,2,6,0,"Jevišovka",2016-10-14,2016-10-14,"RP Jiní Morava","Krajskı úøad Jihomoravského kraje"
"CZ0623022","Misgurnus fossilis","CZ0623022","7165c","2016","CELKOVE_HODNOCENI","Ryby a mihule","bezejmenná strouha - Drnholec IV","10016384","2016-10-14","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"0","0","0","0",6,2,3,0,"Pokran",2013-09-07,2016-10-14,"RP Jiní Morava","Krajskı úøad Jihomoravského kraje"
"CZ0623022","Misgurnus fossilis","CZ0623022","7165c","2016","POP_VITALITA","Ryby a mihule","bezejmenná strouha - Drnholec IV","10016384","2016-10-14","0","min","3","kategorie","alespoò 3 kategorie",0,"ano","minmax","lok","0","0","0","0",6,2,3,0,"Pokran",2013-09-07,2016-10-14,"RP Jiní Morava","Krajskı úøad Jihomoravského kraje"
"CZ0313106","Cottus gobio","CZ0313106","6752b","2012","CELKOVE_HODNOCENI","Ryby a mihule","Lunice - Hvoïany","10018522","2012-07-27","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"0","0","0","0",8,2,6,0,"Lunice a Neárka",2012-07-27,2012-07-27,"RP Jiní Èechy","AOPK ÈR - RP Jiní Èechy, Krajskı úøad Jihoèeského kraje"
"CZ0313106","Cottus gobio","CZ0313106","6752b","2012","POP_VITALITA","Ryby a mihule","Lunice - Hvoïany","10018522","2012-07-27","0","val","3",NA,"3",0,"ano","val","lok","0","0","0","0",8,2,6,0,"Lunice a Neárka",2012-07-27,2012-07-27,"RP Jiní Èechy","AOPK ÈR - RP Jiní Èechy, Krajskı úøad Jihoèeského kraje"
"CZ0313123","Misgurnus fossilis","CZ0313123","7154c","2012","CELKOVE_HODNOCENI","Ryby a mihule","tùò Tìšínov","10018971","2012-08-03","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"0","0","0","0",6,2,3,0,"Stropnice",2012-08-03,2012-08-03,"RP Jiní Èechy","AOPK ÈR - RP Jiní Èechy, Krajskı úøad Jihoèeského kraje"
"CZ0313123","Misgurnus fossilis","CZ0313123","7154c","2012","POP_VITALITA","Ryby a mihule","tùò Tìšínov","10018971","2012-08-03","0","min","3","kategorie","alespoò 3 kategorie",0,"ano","minmax","lok","0","0","0","0",6,2,3,0,"Stropnice",2012-08-03,2012-08-03,"RP Jiní Èechy","AOPK ÈR - RP Jiní Èechy, Krajskı úøad Jihoèeského kraje"
"CZ0524044","Cottus gobio","CZ0524044","5358d","2017","CELKOVE_HODNOCENI","Ryby a mihule","Jizerka - Víchová nad Jizerou","10069991","2017-06-17","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"0","0","0","0",8,2,6,0,"Krkonoše",2012-09-01,2022-02-04,"RP Liberecko","AOPK ÈR - RP Liberecko, Správa KRNAP, Krajskı úøad Libereckého kraje"
"CZ0524044","Cottus gobio","CZ0524044","5358d","2017","POP_VITALITA","Ryby a mihule","Jizerka - Víchová nad Jizerou","10069991","2017-06-17","0","val","3",NA,"3",0,"ano","val","lok","0","0","0","0",8,2,6,0,"Krkonoše",2012-09-01,2022-02-04,"RP Liberecko","AOPK ÈR - RP Liberecko, Správa KRNAP, Krajskı úøad Libereckého kraje"
"CZ0524044","Lampetra planeri","CZ0524044","5358d","2017","CELKOVE_HODNOCENI","Ryby a mihule","Jizerka - Víchová nad Jizerou","10069991","2017-06-17","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"0","0","0","0",5,2,3,0,"Krkonoše",2012-09-01,2017-06-17,"RP Liberecko","AOPK ÈR - RP Liberecko, Správa KRNAP, Krajskı úøad Libereckého kraje"
"CZ0524044","Lampetra planeri","CZ0524044","5358d","2017","POP_VITALITA","Ryby a mihule","Jizerka - Víchová nad Jizerou","10069991","2017-06-17","0","min","3","kategorie","alespoò 3 kategorie",0,"ano","minmax","lok","0","0","0","0",5,2,3,0,"Krkonoše",2012-09-01,2017-06-17,"RP Liberecko","AOPK ÈR - RP Liberecko, Správa KRNAP, Krajskı úøad Libereckého kraje"
"CZ0810004","Lampetra planeri","CZ0810004","6376d","2017","CELKOVE_HODNOCENI","Ryby a mihule","Bahno, NPP Skalická Morávka, Morávka II - Raškovice_soutok s ikovo potokem, Morávka III - Záhoøí_náhon Bahno, Morávka I - Niní Lhoty_pravostranné rameno","10072400, 10267096, 10267104, 10267105","2017-10-02","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"1","0","0","0",5,2,3,0,"Niva Morávky",2013-09-03,2017-10-02,"RP Moravskoslezské","AOPK ÈR - RP Moravskoslezské, Krajskı úøad Moravskoslezského kraje"
"CZ0810004","Lampetra planeri","CZ0810004","6376d","2017","POP_VITALITA","Ryby a mihule","Bahno, NPP Skalická Morávka, Morávka II - Raškovice_soutok s ikovo potokem, Morávka III - Záhoøí_náhon Bahno, Morávka I - Niní Lhoty_pravostranné rameno","10072400, 10267096, 10267104, 10267105","2017-10-02","0","min","3","kategorie","alespoò 3 kategorie",0,"ano","minmax","lok","1","0","0","0",5,2,3,0,"Niva Morávky",2013-09-03,2017-10-02,"RP Moravskoslezské","AOPK ÈR - RP Moravskoslezské, Krajskı úøad Moravskoslezského kraje"
"CZ0810004","Cottus gobio","CZ0810004","6376d","2017","CELKOVE_HODNOCENI","Ryby a mihule","Bahno, NPP Skalická Morávka, Morávka I - Niní Lhoty_pravostranné rameno, Morávka III - Záhoøí_náhon Bahno","10072400, 10267105, 10267104","2017-09-27","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"1","0","0","0",8,2,6,0,"Niva Morávky",2013-09-03,2017-09-27,"RP Moravskoslezské","AOPK ÈR - RP Moravskoslezské, Krajskı úøad Moravskoslezského kraje"
"CZ0810004","Cottus gobio","CZ0810004","6376d","2017","POP_VITALITA","Ryby a mihule","Bahno, NPP Skalická Morávka, Morávka I - Niní Lhoty_pravostranné rameno, Morávka III - Záhoøí_náhon Bahno","10072400, 10267105, 10267104","2017-09-27","0","val","3",NA,"3",0,"ano","val","lok","1","0","0","0",8,2,6,0,"Niva Morávky",2013-09-03,2017-09-27,"RP Moravskoslezské","AOPK ÈR - RP Moravskoslezské, Krajskı úøad Moravskoslezského kraje"
"CZ0723434","Cottus gobio","CZ0723434","6974c","2017","CELKOVE_HODNOCENI","Ryby a mihule","Vlára - st. hranice, Vlára - Sidonie_zahrady I, Vlára - Sidonie_lávka, Vlára - Svatı Štìpán_továrna, Vlára - Svatı Štìpán brod","10079107, 10079137, 10079143, 10079151, 10079154","2017-09-29","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"0","0","0","0",8,2,6,0,"Vlára",2012-09-19,2017-09-29,"RP SCHKO Bílé Karpaty","AOPK ÈR - RP SCHKO Bílé Karpaty"
"CZ0723434","Cottus gobio","CZ0723434","6974c","2017","POP_VITALITA","Ryby a mihule","Vlára - st. hranice, Vlára - Sidonie_zahrady I, Vlára - Sidonie_lávka, Vlára - Svatı Štìpán_továrna, Vlára - Svatı Štìpán brod","10079107, 10079137, 10079143, 10079151, 10079154","2017-09-29","0","val","3",NA,"3",0,"ano","val","lok","0","0","0","0",8,2,6,0,"Vlára",2012-09-19,2017-09-29,"RP SCHKO Bílé Karpaty","AOPK ÈR - RP SCHKO Bílé Karpaty"
"CZ0723434","Rhodeus amarus","CZ0723434","6974c","2017","CELKOVE_HODNOCENI","Ryby a mihule","Vlára - Sidonie_lávka, Vlára - st. hranice","10079143, 10079107","2017-09-29","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"0","0","0","0",8,2,6,0,"Vlára",2017-09-29,2017-09-29,"RP SCHKO Bílé Karpaty","AOPK ÈR - RP SCHKO Bílé Karpaty"
"CZ0723434","Rhodeus amarus","CZ0723434","6974c","2017","POP_VITALITA","Ryby a mihule","Vlára - Sidonie_lávka, Vlára - st. hranice","10079143, 10079107","2017-09-29","0","min","2","kategorie","alespoò 2 kategorie",0,"ano","minmax","lok","0","0","0","0",8,2,6,0,"Vlára",2017-09-29,2017-09-29,"RP SCHKO Bílé Karpaty","AOPK ÈR - RP SCHKO Bílé Karpaty"
"CZ0424125","Cottus gobio","CZ0424125","5644a","2017","CELKOVE_HODNOCENI","Ryby a mihule","Ohøe - Boè","10081570","2017-10-19","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"0","0","0","0",8,2,6,0,"Doupovské hory",2015-09-15,2017-10-19,"RP SCHKO Slavkovskı les","Krajskı úøad Ústeckého kraje, AOPK ÈR - RP SCHKO Slavkovskı les, Krajskı úøad Karlovarského kraje"
"CZ0424125","Cottus gobio","CZ0424125","5644a","2017","POP_VITALITA","Ryby a mihule","Ohøe - Boè","10081570","2017-10-19","0","val","3",NA,"3",0,"ano","val","lok","0","0","0","0",8,2,6,0,"Doupovské hory",2015-09-15,2017-10-19,"RP SCHKO Slavkovskı les","Krajskı úøad Ústeckého kraje, AOPK ÈR - RP SCHKO Slavkovskı les, Krajskı úøad Karlovarského kraje"
"CZ0424125","Cottus gobio","CZ0424125","5744a","2017","CELKOVE_HODNOCENI","Ryby a mihule","Ohøe - Velichov","10086146","2017-10-18","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"0","0","0","0",8,2,6,0,"Doupovské hory",2012-08-22,2017-10-18,"RP SCHKO Slavkovskı les","Krajskı úøad Ústeckého kraje, AOPK ÈR - RP SCHKO Slavkovskı les, Krajskı úøad Karlovarského kraje"
"CZ0424125","Cottus gobio","CZ0424125","5744a","2017","POP_VITALITA","Ryby a mihule","Ohøe - Velichov","10086146","2017-10-18","0","val","3",NA,"3",0,"ano","val","lok","0","0","0","0",8,2,6,0,"Doupovské hory",2012-08-22,2017-10-18,"RP SCHKO Slavkovskı les","Krajskı úøad Ústeckého kraje, AOPK ÈR - RP SCHKO Slavkovskı les, Krajskı úøad Karlovarského kraje"
"CZ0424125","Cottus gobio","CZ0424125","5743b","2017","CELKOVE_HODNOCENI","Ryby a mihule","Ohøe - Radošov u Kyselky","10086148","2017-10-18","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"0","0","0","0",8,2,6,0,"Doupovské hory",2017-10-18,2017-10-18,"RP SCHKO Slavkovskı les","Krajskı úøad Ústeckého kraje, AOPK ÈR - RP SCHKO Slavkovskı les, Krajskı úøad Karlovarského kraje"
"CZ0424125","Cottus gobio","CZ0424125","5743b","2017","POP_VITALITA","Ryby a mihule","Ohøe - Radošov u Kyselky","10086148","2017-10-18","0","val","3",NA,"3",0,"ano","val","lok","0","0","0","0",8,2,6,0,"Doupovské hory",2017-10-18,2017-10-18,"RP SCHKO Slavkovskı les","Krajskı úøad Ústeckého kraje, AOPK ÈR - RP SCHKO Slavkovskı les, Krajskı úøad Karlovarského kraje"
"CZ0424125","Cottus gobio","CZ0424125","5743d","2017","CELKOVE_HODNOCENI","Ryby a mihule","Ohøe - Šemnice","10086153","2017-10-18","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"0","0","0","0",8,2,6,0,"Doupovské hory",2015-08-03,2017-10-18,"RP SCHKO Slavkovskı les","Krajskı úøad Ústeckého kraje, AOPK ÈR - RP SCHKO Slavkovskı les, Krajskı úøad Karlovarského kraje"
"CZ0424125","Cottus gobio","CZ0424125","5743d","2017","POP_VITALITA","Ryby a mihule","Ohøe - Šemnice","10086153","2017-10-18","0","val","3",NA,"3",0,"ano","val","lok","0","0","0","0",8,2,6,0,"Doupovské hory",2015-08-03,2017-10-18,"RP SCHKO Slavkovskı les","Krajskı úøad Ústeckého kraje, AOPK ÈR - RP SCHKO Slavkovskı les, Krajskı úøad Karlovarského kraje"
"CZ0410020","Misgurnus fossilis","CZ0410020","5840d","2017","CELKOVE_HODNOCENI","Ryby a mihule","Mostov","10086158","2017-10-19","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"0","0","0","0",6,2,3,0,"Ramena Ohøe",2014-10-07,2017-10-19,"RP SCHKO Slavkovskı les","Krajskı úøad Karlovarského kraje"
"CZ0410020","Misgurnus fossilis","CZ0410020","5840d","2017","POP_VITALITA","Ryby a mihule","Mostov","10086158","2017-10-19","0","min","3","kategorie","alespoò 3 kategorie",0,"ano","minmax","lok","0","0","0","0",6,2,3,0,"Ramena Ohøe",2014-10-07,2017-10-19,"RP SCHKO Slavkovskı les","Krajskı úøad Karlovarského kraje"
"CZ0624099","Rhodeus amarus","CZ0624099","7266b","2016","CELKOVE_HODNOCENI","Ryby a mihule","kanál u Loveckého zámeèku - Lednice","10088366","2016-06-01","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"0","0","0","0",8,2,6,0,"Niva Dyje",2016-06-01,2016-06-01,"RP Jiní Morava","AOPK ÈR - RP Jiní Morava, Krajskı úøad Jihomoravského kraje"
"CZ0624099","Rhodeus amarus","CZ0624099","7266b","2016","POP_VITALITA","Ryby a mihule","kanál u Loveckého zámeèku - Lednice","10088366","2016-06-01","0","min","2","kategorie","alespoò 2 kategorie",0,"ano","minmax","lok","0","0","0","0",8,2,6,0,"Niva Dyje",2016-06-01,2016-06-01,"RP Jiní Morava","AOPK ÈR - RP Jiní Morava, Krajskı úøad Jihomoravského kraje"
"CZ0623797","Rhodeus amarus","CZ0623797","7069d","2017","CELKOVE_HODNOCENI","Ryby a mihule","Meliorák - Stránice_rozdìlovací objekt","10140656","2017-09-26","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"0","0","0","0",8,2,6,0,"Stránicko",2017-09-26,2017-09-26,"RP SCHKO Bílé Karpaty","Krajskı úøad Jihomoravského kraje"
