ID_ND_NALEZ;IDX_ND_AKCE;DRUH;CESKE_JME;AUTOR;DATUM_OD;DATUM_DO;IDX_ND_LOK;LOKALITA;KOD_LOKALITY;SKUPINA;EVL;PROC_EVL;NEGATIVNI;IDX_ND_LOKALIZACE;MAX_PROC;POLE;DATUM;DEN;MESIC;ROK;kod_chu;nazev_chu;KOD_LOKAL;CILMON;STAV_IND;ID_IND;HOD_IND;TYP_IND;LIM_IND;JEDNOTKA;KLIC;UROVEN;pozn;...34;LIM_INDLIST;IND_GRP;NAZEV;pracoviste;oop
23385178;8212779;Lampetra planeri;mihule potoční;Holec Vladislav#Koutný Jan;30.05.2012;30.05.2012;4986339;Libavský potok - Libavá;NA;Ryby a mihule;CZ0714133: Libavá;15;0;4986339;73.97;6271c;2012-05-30;30;5;2012;CZ0714133;Libavá;CZ0714133;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Libavá;RP Olomoucko;AOPK ČR - RP Olomoucko, Újezdní úřad Libavá
23385178;8212779;Lampetra planeri;mihule potoční;Holec Vladislav#Koutný Jan;30.05.2012;30.05.2012;4986339;Libavský potok - Libavá;NA;Ryby a mihule;CZ0714133: Libavá;15;0;4986339;73.97;6271c;2012-05-30;30;5;2012;CZ0714133;Libavá;CZ0714133;0;0;POP_VITALITA;0;min;3;kategorie;ano;lok;NA;NA;alespoň 3 kategorie;minmax;Libavá;RP Olomoucko;AOPK ČR - RP Olomoucko, Újezdní úřad Libavá
23396894;8217946;Misgurnus fossilis;piskoř pruhovaný;Sajfrt Vlastimil;20.04.2012;13.05.2012;4989250;NPP Pastvisko u Lednice - dvojtůň u soliterní vrby;NA;Ryby a mihule;CZ0624099: Niva Dyje;100;0;4989250;100;7166d;2012-04-20;20;4;2012;CZ0624099;Niva Dyje;CZ0624099;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Niva Dyje;RP Jižní Morava;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje
23396894;8217946;Misgurnus fossilis;piskoř pruhovaný;Sajfrt Vlastimil;20.04.2012;13.05.2012;4989250;NPP Pastvisko u Lednice - dvojtůň u soliterní vrby;NA;Ryby a mihule;CZ0624099: Niva Dyje;100;0;4989250;100;7166d;2012-04-20;20;4;2012;CZ0624099;Niva Dyje;CZ0624099;0;0;POP_VITALITA;0;min;3;kategorie;ano;lok;NA;NA;alespoň 3 kategorie;minmax;Niva Dyje;RP Jižní Morava;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje
23397017;8217974;Misgurnus fossilis;piskoř pruhovaný;Sajfrt Vlastimil;20.04.2012;03.05.2012;4989282;NPP Pastvisko u Lednice - kanál K2;NA;Ryby a mihule;CZ0624099: Niva Dyje;100;0;4989282;100;7166d;2012-04-20;20;4;2012;CZ0624099;Niva Dyje;CZ0624099;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Niva Dyje;RP Jižní Morava;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje
23397017;8217974;Misgurnus fossilis;piskoř pruhovaný;Sajfrt Vlastimil;20.04.2012;03.05.2012;4989282;NPP Pastvisko u Lednice - kanál K2;NA;Ryby a mihule;CZ0624099: Niva Dyje;100;0;4989282;100;7166d;2012-04-20;20;4;2012;CZ0624099;Niva Dyje;CZ0624099;0;0;POP_VITALITA;0;min;3;kategorie;ano;lok;NA;NA;alespoň 3 kategorie;minmax;Niva Dyje;RP Jižní Morava;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje
23397039;8217975;Misgurnus fossilis;piskoř pruhovaný;Sajfrt Vlastimil;05.05.2012;12.05.2012;4989262;NPP Pastvisko - rákosiny a ostřice v jižní části;NA;Ryby a mihule;CZ0624099: Niva Dyje;100;0;4989262;100;7166d;2012-05-05;5;5;2012;CZ0624099;Niva Dyje;CZ0624099;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Niva Dyje;RP Jižní Morava;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje
23397039;8217975;Misgurnus fossilis;piskoř pruhovaný;Sajfrt Vlastimil;05.05.2012;12.05.2012;4989262;NPP Pastvisko - rákosiny a ostřice v jižní části;NA;Ryby a mihule;CZ0624099: Niva Dyje;100;0;4989262;100;7166d;2012-05-05;5;5;2012;CZ0624099;Niva Dyje;CZ0624099;0;0;POP_VITALITA;0;min;3;kategorie;ano;lok;NA;NA;alespoň 3 kategorie;minmax;Niva Dyje;RP Jižní Morava;AOPK ČR - RP Jižní Morava, Krajský úřad Jihomoravského kraje
23400742;8218775;Cottus gobio;vranka obecná;ČRS Husinec;06.07.2012;06.07.2012;4989874;Farský potok - Obec Záblatí;NA;Ryby a mihule;CZ0314024: Šumava;76;0;4989874;56.81;6949d;2012-07-06;6;7;2012;CZ0314024;Šumava;CZ0314024;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Šumava;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava
23400742;8218775;Cottus gobio;vranka obecná;ČRS Husinec;06.07.2012;06.07.2012;4989874;Farský potok - Obec Záblatí;NA;Ryby a mihule;CZ0314024: Šumava;76;0;4989874;56.81;6949d;2012-07-06;6;7;2012;CZ0314024;Šumava;CZ0314024;0;0;POP_VITALITA;0;val;3;NA;ano;lok;NA;NA;3;val;Šumava;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava
23400743;8218775;Lampetra planeri;mihule potoční;ČRS Husinec;06.07.2012;06.07.2012;4989874;Farský potok - Obec Záblatí;NA;Ryby a mihule;CZ0314024: Šumava;76;0;4989874;56.81;6949d;2012-07-06;6;7;2012;CZ0314024;Šumava;CZ0314024;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Šumava;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava
23400743;8218775;Lampetra planeri;mihule potoční;ČRS Husinec;06.07.2012;06.07.2012;4989874;Farský potok - Obec Záblatí;NA;Ryby a mihule;CZ0314024: Šumava;76;0;4989874;56.81;6949d;2012-07-06;6;7;2012;CZ0314024;Šumava;CZ0314024;0;0;POP_VITALITA;0;min;3;kategorie;ano;lok;NA;NA;alespoň 3 kategorie;minmax;Šumava;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava
23404899;8220204;Cottus gobio;vranka obecná;Švátora Miroslav;06.08.2012;06.08.2012;4990766;Chrudimka - PR Krkanka;NA;Ryby a mihule;CZ0534053: Krkanka-Strádovské peklo;100;0;4990766;100;6160b;2012-08-06;6;8;2012;CZ0534053;Krkanka-Strádovské peklo;CZ0534053;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Krkanka-Strádovské peklo;RP Vysočina;AOPK ČR - RP Vysočina
23404899;8220204;Cottus gobio;vranka obecná;Švátora Miroslav;06.08.2012;06.08.2012;4990766;Chrudimka - PR Krkanka;NA;Ryby a mihule;CZ0534053: Krkanka-Strádovské peklo;100;0;4990766;100;6160b;2012-08-06;6;8;2012;CZ0534053;Krkanka-Strádovské peklo;CZ0534053;0;0;POP_VITALITA;0;val;3;NA;ano;lok;NA;NA;3;val;Krkanka-Strádovské peklo;RP Vysočina;AOPK ČR - RP Vysočina
23412231;8221916;Cottus gobio;vranka obecná;Melicharová Magdaléna#Melichar Dominik#Melichar Vladimír;25.08.2012;25.08.2012;4992061;Damice;NA;Ryby a mihule;CZ0424125: Doupovské hory;100;0;4992061;100;5644c;2012-08-25;25;8;2012;CZ0424125;Doupovské hory;CZ0424125;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Doupovské hory;RP SCHKO Slavkovský les;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje
23412231;8221916;Cottus gobio;vranka obecná;Melicharová Magdaléna#Melichar Dominik#Melichar Vladimír;25.08.2012;25.08.2012;4992061;Damice;NA;Ryby a mihule;CZ0424125: Doupovské hory;100;0;4992061;100;5644c;2012-08-25;25;8;2012;CZ0424125;Doupovské hory;CZ0424125;0;0;POP_VITALITA;0;val;3;NA;ano;lok;NA;NA;3;val;Doupovské hory;RP SCHKO Slavkovský les;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje
23415855;8223215;Misgurnus fossilis;piskoř pruhovaný;Neudert Jiří;23.08.2012;23.08.2012;4993237;PR Horní Lužnice - Halámky;NA;Ryby a mihule;CZ0314023: Třeboňsko - střed;100;0;4993237;100;7155a;2012-08-23;23;8;2012;CZ0314023;Třeboňsko - střed;CZ0314023;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Třeboňsko - střed;RP Jižní Čechy;AOPK ČR - RP Jižní Čechy
23415855;8223215;Misgurnus fossilis;piskoř pruhovaný;Neudert Jiří;23.08.2012;23.08.2012;4993237;PR Horní Lužnice - Halámky;NA;Ryby a mihule;CZ0314023: Třeboňsko - střed;100;0;4993237;100;7155a;2012-08-23;23;8;2012;CZ0314023;Třeboňsko - střed;CZ0314023;0;0;POP_VITALITA;0;min;3;kategorie;ano;lok;NA;NA;alespoň 3 kategorie;minmax;Třeboňsko - střed;RP Jižní Čechy;AOPK ČR - RP Jižní Čechy
26449519;8504927;Lampetra planeri;mihule potoční;Losík Jan;15.08.2012;05.10.2012;5055921;Vrchlabí-Vápenický potok;NA;Ryby a mihule;CZ0524044: Krkonoše;100;0;5055921;100;5359d;2012-08-15;15;8;2012;CZ0524044;Krkonoše;CZ0524044;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Krkonoše;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje
26449519;8504927;Lampetra planeri;mihule potoční;Losík Jan;15.08.2012;05.10.2012;5055921;Vrchlabí-Vápenický potok;NA;Ryby a mihule;CZ0524044: Krkonoše;100;0;5055921;100;5359d;2012-08-15;15;8;2012;CZ0524044;Krkonoše;CZ0524044;0;0;POP_VITALITA;0;min;3;kategorie;ano;lok;NA;NA;alespoň 3 kategorie;minmax;Krkonoše;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje
26449520;8504927;Cottus gobio;vranka obecná;Losík Jan;15.08.2012;05.10.2012;5055921;Vrchlabí-Vápenický potok;NA;Ryby a mihule;CZ0524044: Krkonoše;100;0;5055921;100;5359d;2012-08-15;15;8;2012;CZ0524044;Krkonoše;CZ0524044;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Krkonoše;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje
26449520;8504927;Cottus gobio;vranka obecná;Losík Jan;15.08.2012;05.10.2012;5055921;Vrchlabí-Vápenický potok;NA;Ryby a mihule;CZ0524044: Krkonoše;100;0;5055921;100;5359d;2012-08-15;15;8;2012;CZ0524044;Krkonoše;CZ0524044;0;0;POP_VITALITA;0;val;3;NA;ano;lok;NA;NA;3;val;Krkonoše;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje
26482425;8512895;Lampetra planeri;mihule potoční;Bodnár Tomáš#Bureš Jiří#Neudert Jiří;16.10.2012;16.10.2012;5059058;Chvalšinský potok - PP Meandry Chvalšinského potoka;NA;Ryby a mihule;CZ0314124: Blanský les;100;0;5059058;100;7151c;2012-10-16;16;10;2012;CZ0314124;Blanský les;CZ0314124;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Blanský les;RP Jižní Čechy;AOPK ČR - RP Jižní Čechy, Krajský úřad Jihočeského kraje
