"SITECODE";"NAZEV";"HABITAT_CODE";"ROZLOHA";"KVALITA";"TYPICKE_DRUHY";"REPRE";"REPRE_SDF";"CONSERVATION";"DEGREE_OF_CONSERVATION";"MRTVE_DREVO";"KALAMITA_POLOM";"RELATIVE_AREA_PERC";"EVL_AREA_PERC";"GOOD_DOC_AREA_HA";"W_AREA_HA";"W_AREA_PERC";"PASEKY_AREA_HA";"PASEKY_AREA_PERC";"DEGRAD_AREA_HA";"DEGRAD_AREA_PERC";"PERC_0";"PERC_1";"PERC_2";"DATE_MIN";"DATE_MAX";"DATE_MEAN";"DATE_MEDIAN"
"CZ0210173";"Slan· louka u ⁄jezdce";"1340";1,00568603261188;2,36316292637288;2,18158146318644;0,818418536813559;3,18158146318644;2,18158146318644;81,8418536813559;NA;NA;7,84711215672006e-09;75,5149790333865;0,823072091304045;0,182613941307832;18,1581463186441;NA;NA;0,182613941307832;18,1581463186441;0;0;100;2021-09-03;2021-09-03;2021-09-03;2021-09-03
"CZ0410150";"Soos";"1340";7,08384913018534;2,03458157201014;2,57680104278339;1,84716253225804;2,57680104278339;2,11100030588112;88,8999694118877;NA;NA;5,52734718622677e-08;1,54412209743808;6,29753970991904;0;0;NA;NA;0;0;0;0;100;2014-06-14;2014-09-04;2014-07-20;2014-06-14
"CZ0420525";"Slanisko u äkrle";"1340";0,808583544072892;1,81944350072032;2;1,22750914378206;2,77249085621794;1,81944350072032;100;NA;NA;6,30917160292999e-09;8,12201562533726;0,808583544072892;0;0;NA;NA;0;0;0;0;100;2015-05-08;2015-05-08;2015-05-08;2015-05-08
"CZ0620031";"Slanisko DobrÈ Pole";"1340";2,34512430349949;2,57916713502345;2,15256227948414;1,69487544103171;2,30512455896829;2,15256227948414;84,7437720515857;NA;NA;1,82984080858887e-08;40,6501950204485;1,98734679408395;0,357777509415545;15,2562279484143;NA;NA;0,357777509415545;15,2562279484143;0;100;0;2010-07-13;2010-07-14;2010-07-13;2010-07-13
"CZ0620076";"Z¯Ìdla u NesvaËilky";"1340";3,32266165747453;3,32861739099674;2,38572367078992;1,22855265842017;2,77144734157983;2,38572367078992;61,4276329210083;NA;NA;2,59258832672865e-08;71,0211132915836;2,04103240616054;1,28162925131398;38,5723670789917;NA;NA;1,28162925131398;38,5723670789917;0;0;100;2022-09-23;2022-09-23;2022-09-23;2022-09-23
"CZ0620158";"Rumunsk· baûantnice";"1340";0,635405359676085;2,5894326233929;3;0;3,02616545045969;2,02616545045969;97,3834549540309;NA;NA;4,95790630542004e-09;0,703214941388264;0,618779692215659;0,0166256674604267;2,61654504596909;NA;NA;0,0166256674604267;2,61654504596909;0;0;100;2022-09-25;2022-09-25;2022-09-25;2022-09-25
"CZ0620187";"Slanisko Novosedly";"1340";0,804122815227006;1,51463799611337;2,12150482173094;1,75699035653813;2,24300964346187;1,39313317438243;87,8495178269063;NA;NA;6,27436567103942e-09;15,4373568116858;0,706418015913069;0,0977047993139364;12,1504821730937;NA;NA;0,0977047993139364;12,1504821730937;0;100;0;2012-06-16;2012-06-19;2012-06-18;2012-06-19
"CZ0624102";"Slanisko u Nesytu";"1340";7,5435029661268;1;1,14658840368115;2;1,14658840368115;1;100;NA;NA;5,88600337582618e-08;77,208534245194;7,5435029661268;0;0;NA;NA;0;0;0;100;0;2012-08-08;2012-08-21;2012-08-12;2012-08-08
"CZ0420061";"Str·nÏ nad Chomutovkou";"1340";0,390366491569715;2,04365068828888;2,02182534414444;1,06436698088777;2,93563301911223;2,02182534414444;97,8174655855559;NA;NA;3,04593038208682e-09;4,45722333615803;0,381846608548748;0,00851988302096725;2,18253441444415;NA;NA;0,00851988302096725;2,18253441444415;0;0;100;2015-05-23;2015-05-23;2015-05-23;2015-05-23
"CZ0210064";"PÌseËn˝ p¯esyp u PÌst";"2330";0,66769583772812;1;3;2;3;1;100;NA;NA;9,200820748908e-10;17,8900906874129;0,66769583772812;0;0;NA;NA;0;0;0;0;100;2023-09-20;2023-09-20;2023-09-20;2023-09-20
"CZ0210114";"RadouË";"2330";5,07035231243784;2,01956499196767;2;1,74243942944529;2,25756057055471;1,78767858343658;100;NA;NA;6,98692430362997e-09;16,3513597558404;5,07035231243784;0;0;NA;NA;0;0;0;0;100;2022-06-13;2022-08-03;2022-07-09;2022-07-09
"CZ0210152";"PolabÌ u Kostelce";"2330";0,0913312313581817;2,64432947430851;2,5272761250642;1,5272761250642;3;2,32216473715426;67,7835262845744;NA;NA;1,25854055248109e-10;0,0235498449159659;0,0619075292136986;0;0;NA;NA;0;0;0;0;100;2017-05-28;2017-05-28;2017-05-28;2017-05-28
"CZ0210730";"PÌsËina u ByöiËek";"2330";0,301073981733475;2,45312104644437;1,44824342532968;0,783194719007191;2,443365804215;2,22656052322219;77,3439476777813;NA;NA;4,14878689002353e-10;57,7048162996393;0,232862502903352;0,0667429540197365;22,1682902107498;NA;NA;0,0667429540197365;22,1682902107498;0;0;100;2021-07-18;2022-10-24;2021-12-19;2021-07-18
