"SITECODE";"NAZEV";"HABITAT_CODE";"ROZLOHA";"KVALITA";"TYPICKE_DRUHY";"REPRE";"REPRE_SDF";"CONSERVATION";"DEGREE_OF_CONSERVATION";"MINIMIAREAL";"MINIMIAREAL_JADRA";"MINIMIAREAL_HODNOTA";"MOZAIKA_VNEJSI";"MOZAIKA_VNITRNI";"MOZAIKA_FIN";"RED_LIST";"INVASIVE";"EXPANSIVE";"MRTVE_DREVO";"KALAMITA_POLOM";"RED_LIST_SPECIES";"INVASIVE_LIST";"EXPANSIVE_LIST";"RELATIVE_AREA_PERC";"EVL_AREA_PERC";"GOOD_DOC_AREA_HA";"W_AREA_HA";"W_AREA_PERC";"PASEKY_AREA_HA";"PASEKY_AREA_PERC";"DEGRAD_AREA_HA";"DEGRAD_AREA_PERC";"PERC_SPAT";"PERC_0";"PERC_1";"PERC_2";"DATE_MIN";"DATE_MAX";"DATE_MEAN";"DATE_MEDIAN"
"CZ0210173";"Slan· louka u ⁄jezdce";"1340";0,734706081584692;2;2;1;3;2;100;100;1;0,5;0;100;0;5,8413474596034;0;0;NA;NA;"Berula erecta, Bolboschoenus koshewnikowii, Bolboschoenus maritimus, Carex distans, Centaurium pulchellum, Cirsium acaule, Galium mollugo, Juncus gerardii, Lotus tenuis, Melilotus dentatus, Puccinellia distans, Tetragonolobus maritimus, Teucrium scordium";"NA";"NA";5,73272456558458e-09;5,51676294075753e-07;0,734706081584692;0;0;NA;NA;0;0;100;0;100;0;2007-08-03;2007-08-03;2007-08-03;2007-08-03
"CZ0410150";"Soos";"1340";7,08384913018534;2,03458157201014;2,57680104278339;1,84716253225804;2,57680104278339;2,11100030588112;88,8999694118877;98,4648227249405;2;0,5;19,671831758263;98,4648227249405;19,671831758263;7,16322257195073;0;0;NA;NA;"Atriplex prostrata subsp. latifolia, Bolboschoenus maritimus, Carex diandra, Carex disticha, Carex distans, Drosera rotundifolia, Eleocharis uniglumis subsp. uniglumis, Eleocharis uniglumis, Epilobium palustre, Glaux maritima, Juncus gerardii, Juncus ranarius, Parnassia palustris, Potentilla palustris, Puccinellia distans, Scorzonera parviflora, Schoenoplectus tabernaemontani, Spergularia maritima, Triglochin maritima, Triglochin palustre";"NA";"NA";5,52734718622677e-08;1,54412209743694e-08;6,29753970991904;0;0;NA;NA;0;0;74,8522865707616;0;0;100;2014-06-14;2014-09-04;2014-07-20;2014-06-14
"CZ0420525";"Slanisko u äkrle";"1340";0,808583544072892;1,81944350072032;2;1,22750914378206;2,77249085621794;1,81944350072032;100;100;1;0,5;5,40661087688259;100;5,40661087688259;10;0;0;NA;NA;"Achillea setacea, Astragalus danicus, Aster linosyris, Atriplex prostrata subsp. latifolia, Bolboschoenus maritimus, Bupleurum tenuissimum, Carex distans, Carex melanostachya, Carex secalina, Centaurium pulchellum, Eleocharis uniglumis, Festuca pseudovina, Juncus gerardii, Lotus tenuis, Melilotus dentatus, Plantago maritima subsp. ciliata, Puccinellia distans, Scorzonera cana, Scorzonera laciniata, Serratula tinctoria, Spergularia salina, Tetragonolobus maritimus, Trifolium fragiferum, Trifolium striatum";"NA";"NA";6,30917160292999e-09;8,12201562537094e-08;0,808583544072892;0;0;NA;NA;0;0;100;0;0;100;2015-05-08;2015-05-08;2015-05-08;2015-05-08
"CZ0620031";"Slanisko DobrÈ Pole";"1340";2,34512430349949;2,57916713502345;2,15256227948414;1,69487544103171;2,30512455896829;2,15256227948414;84,7437720515857;84,7437720515857;1;0,5;1,75692569603262;100;1,75692569603262;10;0;0;NA;NA;"Allium angulosum, Althaea officinalis, Aster tripolium subsp. pannonicus, Atriplex prostrata subsp. latifolia, Bolboschoenus maritimus, Bupleurum tenuissimum, Cardamine dentata, Carex distans, Carex melanostachya, Carex secalina, Centaurea jacea subsp. angustifolia, Centaurium pulchellum, Crataegus praemonticola, Cuscuta epilinum, Dipsacus laciniatus, Festuca pseudovina, Galium wirtgenii, Glaux maritima, Inula ensifolia, Inula hirta, Inula salicina, Juncus gerardii, Juncus ranarius, Lotus tenuis, Malus sylvestris, Melilotus dentatus, Plantago maritima subsp. ciliata, Prunus mahaleb, Puccinellia distans, Pulicaria dysenterica, Pulegium vulgare, Ribes nigrum, Saxifraga tridactylites, Scorzonera cana, Scorzonera laciniata, Senecio erraticus, Spergularia maritima, Spergularia salina, Taraxacum bessarabicum, Tetragonolobus maritimus, Trifolium fragiferum, Verbena officinalis";"NA";"NA";1,82984080858887e-08;4,06501950204505e-07;1,98734679408395;0,357777509415545;15,2562279484143;NA;NA;0,357777509415545;15,2562279484143;100;0;100;0;2010-07-13;2010-07-14;2010-07-13;2010-07-13
"CZ0620076";"Z¯Ìdla u NesvaËilky";"1340";3,17394109993302;2,51998434488813;2;2;2;2,25999217244406;74,0007827555937;100;2;0,5;0;0;0;10;0;0;NA;NA;"Anagallis foemina, Artemisia pontica, Atriplex prostrata subsp. latifolia, Bolboschoenus koshewnikowii, Bupleurum tenuissimum, Carex riparia, Centaurea jacea subsp. angustifolia, Euphorbia exigua, Euphorbia falcata, Festuca pseudovina, Hibiscus trionum, Inula salicina, Juncus gerardii, Lotus tenuis, Malva pusilla, Melilotus dentatus, Onobrychis arenaria, Peucedanum alsaticum, Plantago maritima subsp. ciliata, Puccinellia distans, Rumex stenophyllus, Scorzonera cana, Silene noctiflora, Stachys annua, Tetragonolobus maritimus, Thesium dollineri";"NA";"NA";2,47654546074519e-08;6,78422462703821e-07;2,34874125815194;0;0;NA;NA;0;0;100;0;100;0;2009-06-04;2009-06-04;2009-06-04;2009-06-04
"CZ0620158";"Rumunsk· baûantnice";"1340";0,0107354643475628;4;3;0;4;2;0;NA;NA;0,5;42,8102181107416;0;42,8102181107416;8,5540678849895;0;0;NA;NA;"Althaea officinalis, Centaurium pulchellum, Dipsacus laciniatus, Hyoscyamus niger, Juncus gerardii, Marrubium peregrinum, Schoenoplectus tabernaemontani, Tetragonolobus maritimus, Thalictrum lucidum, Veronica catenata";"NA";"NA";8,37660960359644e-11;1,18811382639139e-10;0,0107354643475628;0,0107354643475628;100;NA;NA;0,0107354643475628;100;100;0;100;0;2009-07-23;2009-07-23;2009-07-23;2009-07-23
"CZ0620187";"Slanisko Novosedly";"1340";0,804122815227006;1,51463799611337;2,12150482173094;1,75699035653813;2,24300964346187;1,39313317438243;87,8495178269063;87,8495178269063;1;0,5;0;100;0;9,78610999176033;0;0;NA;NA;"Aster tripolium subsp. pannonicus, Atriplex prostrata subsp. latifolia, Bolboschoenus koshewnikowii, Bolboschoenus maritimus, Carex distans, Carex riparia, Carex secalina, Crataegus praemonticola, Cucubalus baccifer, Heleochloa schoenoides, Chenopodium chenopodioides, Juncus gerardii, Lotus tenuis, Melilotus dentatus, Puccinellia distans, Pulicaria dysenterica, Ribes nigrum, Schoenoplectus tabernaemontani, Spergularia maritima, Spergularia salina, Taraxacum bessarabicum, Trifolium fragiferum";"NA";"NA";6,27436567103942e-09;1,54373568116744e-07;0,706418015913069;0,0977047993139364;12,1504821730937;NA;NA;0,0977047993139364;12,1504821730937;100;0;100;0;2012-06-16;2012-06-19;2012-06-18;2012-06-19
"CZ0624102";"Slanisko u Nesytu";"1340";7,5435029661268;1;1,14658840368115;2;1,14658840368115;1;100;100;1;0,5;0;100;0;10;0;0;NA;NA;"Althaea officinalis, Aster amellus, Aster tripolium subsp. pannonicus, Atriplex prostrata subsp. latifolia, Berula erecta, Bolboschoenus koshewnikowii, Bolboschoenus maritimus, Bupleurum tenuissimum, Carlina biebersteinii subsp. biebersteinii, Carex distans, Carex hordeistichos, Carex riparia, Centaurea jacea subsp. angustifolia, Centaurium pulchellum, Cerastium dubium, Crepis setosa, Crypsis aculeata, Dipsacus laciniatus, Eleocharis uniglumis, Festuca pseudovina, Heleochloa schoenoides, Juncus gerardii, Juncus ranarius, Lotus tenuis, Lythrum virgatum, Medicago minima, Melilotus dentatus, Ononis repens, Plantago maritima subsp. ciliata, Potentilla arenaria, Prunus mahaleb, Puccinellia distans, Pulicaria dysenterica, Scorzonera cana, Scorzonera parviflora, Senecio erraticus, Schoenoplectus tabernaemontani, Sium latifolium, Spergularia maritima, Spergularia salina, Stipa pennata, Taraxacum bessarabicum, Tetragonolobus maritimus, Teucrium scordium, Trifolium fragiferum, Triglochin maritima, Verbascum blattaria";"NA";"NA";5,88600337582618e-08;7,72085342451004e-07;7,5435029661268;0;0;NA;NA;0;0;100;0;100;0;2012-08-08;2012-08-21;2012-08-12;2012-08-08
"CZ0420061";"Str·nÏ nad Chomutovkou";"1340";0,390366491569715;2,04365068828888;2,02182534414444;1,06436698088777;2,93563301911223;2,02182534414444;97,8174655855559;0;0;0,5;57,9900857761258;100;57,9900857761258;1,93478069220655;0;0;NA;NA;"Carex distans, Glaux maritima, Plantago maritima subsp. ciliata, Tetragonolobus maritimus";"NA";"NA";3,04593038208682e-09;4,45722333615678e-08;0,381846608548748;0,00851988302096725;2,18253441444415;NA;NA;0,00851988302096725;2,18253441444415;100;0;0;100;2015-05-23;2015-05-23;2015-05-23;2015-05-23
"CZ0210064";"PÌseËn˝ p¯esyp u PÌst";"2330";0,616773658434115;1;2;2;2;1;100;100;1;0,5;0;100;0;1,3750292296461;0;0;NA;NA;"Corynephorus canescens, Festuca psammophila, Spergula morisonii";"NA";"NA";8,49911524566256e-10;1,6525693376491e-07;0,616773658434115;0;0;NA;NA;0;0;100;0;100;0;2008-08-01;2008-08-01;2008-08-01;2008-08-01
