ID_TAXON,TAXON,AUTOR_POPISU,CESKE_JMENO,PRILOHA_SMERNICE,CELED,SKUPINA,TAXON_ZDROJ,ID_ZDROJ,PERIODA
1597,Buxbaumia viridis,(Moug. ex Lam. & DC.) Brid. ex Moug. & Nestl.,šikoušek zelený,HD II,Buxbaumiaceae,Mechorosty,,191,6
1712,Dicranum viride,(Sull. & Lesq.) Lindb.,dvouhrotec zelený,HD II,Dicranaceae,Mechorosty,,191,6
1845,Hamatocaulis vernicosus,(Mitt.) Hedenäs,srpnatka fermežová,HD II,Calliergonaceae,Mechorosty,,191,6
1964,Mannia triandra,(Scop.) Grolle,mozolka skalní,HD II,Aytoniaceae,Mechorosty,,191,6
2013,Notothylas orbicularis,(Schwein.) A. Gray,vycpálka okrouhlá,HD II,Notothyladaceae,Mechorosty,,191,6
2034,Orthotrichum rogeri,Brid.,šurpek Rogerův,HD II,Orthotrichaceae,Mechorosty,,191,6
35085,Aconitum firmum subsp. moravicum,Skalický,oměj tuhý moravský,"HD II, HD IV",Ranunculaceae,Cévnaté rostliny,Aconitum firmum moravicum,191,6
35102,Adenophora liliifolia,(Linnaeus) DC.,zvonovec liliolistý,"HD II, HD IV",Campanulaceae,Cévnaté rostliny,,191,
35231,Aldrovanda vesiculosa,Linnaeus,aldrovandka měchýřkatá,"HD II, HD IV",Droseraceae,Cévnaté rostliny,,191,
35371,Angelica palustris,(Besser) Hoffm.,matizna bahenní,"HD II, HD IV",Apiaceae,Cévnaté rostliny,,191,
35497,Artemisia pancicii,Danihelka & Marhold,pelyněk Pančićův,"HD II, HD IV",Asteraceae,Cévnaté rostliny,,191,
35516,Asplenium adulterinum,Milde,sleziník nepravý,"HD II, HD IV",Aspleniaceae,Cévnaté rostliny,,191,
35731,Botrychium simplex,E. Hitchc.,vratička jednoduchá,"HD II, HD IV",Ophioglossaceae,Cévnaté rostliny,,191,
35886,Campanula bohemica,Hruby,zvonek český,"HD II, HD IV",Campanulaceae,Cévnaté rostliny,,191,
35889,Campanula gelida,Kovanda,zvonek jesenický,"HD II, HD IV",Campanulaceae,Cévnaté rostliny,,191,
36175,Cerastium alsinifolium,Tausch,rožec kuřičkolistý,"HD II, HD IV",Caryophyllaceae,Cévnaté rostliny,,191,
36224,Cirsium brachycephalum,Juratzka,pcháč krátkohlavý,"HD II, HD IV",Asteraceae,Cévnaté rostliny,,191,
36306,Coleanthus subtilis,(Tratt.) Seidl,puchýřka útlá,"HD II, HD IV",Poaceae,Cévnaté rostliny,,191,
36393,Crambe tataria,Sebeók,katrán tatarský,"HD II, HD IV",Brassicaceae,Cévnaté rostliny,,191,
36469,Cypripedium calceolus,Linnaeus,střevíčník pantoflíček,"HD II, HD IV",Orchidaceae,Cévnaté rostliny,,191,
36562,Dianthus arenarius subsp. bohemicus,(Novák) O. Schwarz,hvozdík písečný český,"HD II, HD IV",Caryophyllaceae,Cévnaté rostliny,Dianthus arenarius bohemicus,191,
36575,Dianthus lumnitzeri,Wiesb.,hvozdík Lumnitzerův,"HD II, HD IV",Caryophyllaceae,Cévnaté rostliny,,191,
36576,Dianthus moravicus,Kovanda,hvozdík moravský,"HD II, HD IV",Caryophyllaceae,Cévnaté rostliny,,191,
36630,Dracocephalum austriacum,Linnaeus,včelník rakouský,"HD II, HD IV",Lamiaceae,Cévnaté rostliny,,191,
36665,Echium maculatum,Linnaeus,hadinec červený,"HD II, HD IV",Boraginaceae,Cévnaté rostliny,,191,
37133,Galium sudeticum,Tausch,svízel sudetský,"HD II, HD IV",Rubiaceae,Cévnaté rostliny,,191,
37179,Gentianella praecox subsp. bohemica,(Skalický) Holub,hořeček mnohotvarý český,"HD II, HD IV",Gentianaceae,Cévnaté rostliny,,191,
37231,Gladiolus palustris,Gaudin,mečík bahenní,"HD II, HD IV",Iridaceae,Cévnaté rostliny,,191,
37503,Himantoglossum adriaticum,Baumann,jazýček jadranský,"HD II, HD IV",Orchidaceae,Cévnaté rostliny,,191,
113844,Iris arenaria,Waldst. et Kit.,kosatec písečný,"HD II, HD IV",Iridaceae,Cévnaté rostliny,Iris humilis arenaria,191,
37776,Jurinea cyanoides,(Linnaeus) Rchb.,sinokvět chrpovitý,"HD II, HD IV",Asteraceae,Cévnaté rostliny,,191,
113929,Klasea lycopifolia,(Vill.) Á. Löve et D. Löve,srpice karbincolistá,"HD II, HD IV",Asteraceae,Cévnaté rostliny,Serratula lycopifolia,191,
37959,Ligularia sibirica,(Linnaeus) Cass.,popelivka sibiřská,"HD II, HD IV",Asteraceae,Cévnaté rostliny,,191,
37997,Liparis loeselii,(Linnaeus) Rich.,hlízovec Loeselův,"HD II, HD IV",Orchidaceae,Cévnaté rostliny,,191,
38057,Luronium natans,(Linnaeus) Rafin.,žabníček vzplývavý,"HD II, HD IV",Alismataceae,Cévnaté rostliny,,191,
38264,Minuartia smejkalii,Dvořáková,kuřička hadcová,"HD II, HD IV",Caryophyllaceae,Cévnaté rostliny,,191,
38598,Pedicularis sudetica,Willd.,všivec krkonošský,"HD II, HD IV",Orobanchaceae,Cévnaté rostliny,,191,
38810,Poa riphaea,(Asch. & Graebn.) Fritsch,lipnice jesenická,"HD II, HD IV",Poaceae,Cévnaté rostliny,,191,
39036,Pulsatilla grandis,Wender.,koniklec velkokvětý,"HD II, HD IV",Ranunculaceae,Cévnaté rostliny,,191,
113417,Pulsatilla grandis subsp. grandis,,koniklec velkokvětý pravý,"HD II, HD IV",Ranunculaceae,Cévnaté rostliny,Pulsatilla grandis,191,
39041,Pulsatilla patens,(Linnaeus) Mill.,koniklec otevřený,"HD II, HD IV",Ranunculaceae,Cévnaté rostliny,,191,
113940,Stipa glabrata,P. A. Smirn.,kavyl olysalý,"HD II, HD IV",Poaceae,Cévnaté rostliny,Stipa zalesskii,191,
40186,Tephroseris longifolia subsp. moravica,Holub,starček dlouholistý moravský,"HD II, HD IV",Asteraceae,Cévnaté rostliny,Tephroseris longifolia moravica,191,
40216,Thesium ebracteatum,Hayne,lněnka bezlistenná,"HD II, HD IV",Santalaceae,Cévnaté rostliny,,191,
40355,Trichomanes speciosum,Willd.,vláskatec tajemný,"HD II, HD IV",Hymenophyllaceae,Cévnaté rostliny,,191,
34444,Anisus vorticulus,"(Troschel, 1834)",svinutec tenký,"HD II, HD IV",Planorbidae,Měkkýši,,191,
34579,Margaritifera margaritifera,"(Linnaeus, 1758)",perlorodka říční,"HD II, HD V",Margaritiferidae,Měkkýši,,191,
34677,Unio crassus,"Philipsson, 1788",velevrub tupý,"HD II, HD IV",Unionidae,Měkkýši,,191,
